name,phone,website,reviews,ratings
SVKM's Mithibai College of Arts,022 4233 9000,https://www.google.com/maps/place/SVKM%27s+Mithibai+College+of+Arts/data=!4m7!3m6!1s0x3be7c856a7d54355:0xd8481ebbaccd8149!8m2!3d19.1028892!4d72.8374303!16s%2Fm%2F0279k45!19sChIJVUPVp1bI5zsRSYHNrLseSNg?authuser=0&hl=en&rclk=1,"(2,839)",4.3
Jai Hind College,022 2204 1095,https://www.google.com/maps/place/Jai+Hind+College/data=!4m7!3m6!1s0x3be7d1e71c2b104b:0x2b32a4be81621938!8m2!3d18.9345107!4d72.8252105!16zL20vMDg2eTU2!19sChIJSxArHOfR5zsROBligb6kMis?authuser=0&hl=en&rclk=1,"(1,200)",4.4
K J Somaiya College Of Arts And Commerce,022 2102 0367,https://www.google.com/maps/place/K+J+Somaiya+College+Of+Arts+And+Commerce/data=!4m7!3m6!1s0x3be7c6279aaaaaab:0x1c112b7d1d6e26d3!8m2!3d19.0749651!4d72.8995181!16s%2Fm%2F0cr50qd!19sChIJq6qqmifG5zsR0yZuHX0rERw?authuser=0&hl=en&rclk=1,"(1,969)",4.3
St. Xavier's College (Autonomous),022 2262 0661,https://www.google.com/maps/place/St.+Xavier%27s+College+%28Autonomous%29/data=!4m7!3m6!1s0x3be7b870ba222b0b:0xa35fb09925b0951d!8m2!3d18.9426104!4d72.8315117!16zL20vMDVnZ2g0!19sChIJCysiunC45zsRHZWwJZmwX6M?authuser=0&hl=en&rclk=1,"(1,700)",4.5
"Don Bosco Institute of Technology, Mumbai",022 6887 8700,"https://www.google.com/maps/place/Don+Bosco+Institute+of+Technology,+Mumbai/data=!4m7!3m6!1s0x3be7c8866a456c9f:0x8d1745d15baac575!8m2!3d19.0812532!4d72.8885961!16zL20vMGJjaDM1!19sChIJn2xFaobI5zsRdcWqW9FFF40?authuser=0&hl=en&rclk=1",(869),4.4
Elphinstone College,022 2284 4060,https://www.google.com/maps/place/Elphinstone+College/data=!4m7!3m6!1s0x3be7ce1e3a9a13c5:0xa5a1ee827799317d!8m2!3d18.9271362!4d72.8310487!16zL20vMDZ0cGJw!19sChIJxROaOh7O5zsRfTGZd4LuoaU?authuser=0&hl=en&rclk=1,(770),4.2
"D.G. Ruparel College of Arts, Science and Commerce",022 2430 3081,"https://www.google.com/maps/place/D.G.+Ruparel+College+of+Arts,+Science+and+Commerce/data=!4m7!3m6!1s0x3be7ced0d6cd6319:0x9f4d4c14b98869ed!8m2!3d19.0278689!4d72.8453341!16zL20vMGQwM245!19sChIJGWPN1tDO5zsR7WmIuRRMTZ8?authuser=0&hl=en&rclk=1","(1,397)",4.2
